"","Name.of.the.District","PHC.s.CHC.s.per.10k","SUB.DIVISIONAL.hospital.per.10k","General.No..of.beds.per.10k","Urban","Rural","Total.Beds.Capacity.per.10k","Total.ICU.Beds.per.10K","Temporary.medical.camps.Rural","Temporary.medical.camps.Urban","X..Total.HIV.Positive.to.Total.Tested...Male...Female.","X..Plasmodium.Vivax.test.positive.to.Total.Blood.Smears.Examined","X..Plasmodium.Falciparum.test.positive.to.Total.Blood.Smears.Examined","X..Deaths.due.to.Pneumonia.to.Total.Reported.Infant.Deaths","Poor...","Middle...","X.Rich...","Median.of.wealth.index","Total","Male","Female","Rural.1","Urban.1","Females","Household.using.Iodised.Salt","Household.with.improved.Drinking.Water.Sources","Household.using.improved.Sanitation.facility","Household.using.clean.fuel.for.cooking","At.Current.Price.Rs..","At.Constant.Price..Base.Year.2004.05."
"1","Angul",0.002,3e-04,0.0392,1341833,1890176,0.015,0.001,326,6,0.4,0,0,2.4,2.6,2.6,3.9,-39625,41.3,55,26.8,42.7,34.3,68.6,89.5,77.2,35.6,21.4,64.014,40.516
"2","Balasore",0.005,1e-04,0.063,375944,5300576,0.02,0.001,820,9,0.5,0,0.1,2,3.3,3.7,2.4,-75313,40.2,57.7,21.9,41,33.8,72.3,80.2,97.7,37.3,14.2,32.656,20.032
"3","Bargarh",0.0034,1e-04,0.0293,1988507,2126735,0.012,0.0012,361,5,0.3,0.1,0,3.5,3.1,3.6,2.8,-68722.5,51.4,63.2,39.4,53.1,36.8,65.4,99.1,95.6,26.4,13.3,32.713,19.404
"4","Bhadrak",0.0028,0,0.0399,1279588,2697506,0.02,8e-04,218,9,0.4,1.6,0.5,5.1,3,3.5,2.9,-69462,31.1,53.9,7.9,31.1,30.9,75.8,96.3,99.4,23,10.7,29.681,18.217
"5","Balangir",0.0033,2e-04,0.0554,1096800,6077738,0,0,480,13,0.1,0,0.2,4.2,4.4,2.7,1.9,-100710.5,43.7,56.6,30.6,45,34.1,53.5,98.7,94,14.1,9.2,34.369,20.689
"6","Boudh",5e-04,0,0.0169,49248,1340363,0.012,4e-04,69,4,0.2,0.1,0,1.9,3.4,3.8,2,-83914,49.7,56.7,42.7,50.5,34.9,59.8,90.6,88.8,16.4,11.5,29.762,17.941
"7","Cuttack",0.0036,2e-04,0.0708,2029274,3931719,0.012,0,571,19,1.6,0,0,1,1.4,3,4.5,-15936,35.7,56.3,13.7,36.2,34.3,79.6,95.1,91.1,38.8,31,49.495,30.898
"8","Deogarh",5e-04,0,0.0104,47218,729618,0.015,0.004,138,2,0.2,0,0,3.8,3.6,3.6,2.2,-83539.5,52.9,58.4,47.3,54.2,35.9,63,93.5,85.6,30.9,7.4,39.497,23.31
"9","Dhenkanal",0.0035,2e-04,0.0412,598465,2161036,0.021,0,351,7,0.3,0,0.1,1.6,2.5,3.1,3.6,-45937,36.5,55.6,16.4,37,31.6,71,98.7,58.8,33.3,21,41.465,24.92
"10","Gajapati",0.0011,0,0.0273,529637,892664,0.01,6e-04,197,3,0.7,0,0.3,15.8,3.2,3.7,2.5,-71854,50.9,55.1,46.8,52.7,37.7,43.2,76.8,69.2,38.2,19.2,24.504,23.234
"11","Ganjam",0.0093,4e-04,0.0943,7226883,4076752,0.01,0,2863,53,0.9,0.7,0.9,5,1.6,3,4.4,-17660,42.6,55.6,29.2,44.6,35.1,61.1,91.3,90.3,40.7,34.5,40.299,24.287
"12","Jagatsinghpur",0.0024,0,0.0268,271080,1645658,0.02,0.002,288,4,0.2,0,0,1.9,1.8,3.7,4.1,-32775,35.5,56.3,14,35.7,33.9,80.6,99.2,96.9,30.8,12.8,43.886,25.851
"13","Jajpur",0.0027,0,0.0442,10147460,3095813,0.008,5e-04,1233,4,0.2,0.1,0.1,3.3,2.1,3.4,3.8,-37621,30.2,52.5,7.3,30.2,30.1,73.3,99.3,87.8,30.7,15.9,53.218,23.056
"14","Jharsuguda",0.001,0,0.0252,1065786,519953,0.015,0.001,107,10,0.3,0,0.2,2.3,3.8,5.9,8.9,-16859,42.7,58,26.8,48.5,34,70.7,98.7,91.3,40.3,28,54.165,32.899
"15","Kalahandi",0.0038,1e-04,0.0575,482813,4480596,0.012,0.0017,407,13,0.4,0.2,1.8,7.2,4.5,2.7,1.5,-107843,47.7,56.8,38.6,48.8,35,46.7,96.2,93.6,14.9,7.1,32.661,19.409
"16","Kandhamal",0.0022,1e-04,0.0494,2320477,1229514,0.02,6e-04,278,7,0.1,0.1,1,6.9,4.5,3.3,1.5,-104363,48.5,53.8,43.4,49.9,35.5,51.9,95.3,61.4,16.5,6.4,47.382,29.972
"17","Kendrapara",0.0023,1e-04,0.0446,192740,2722982,0.015,0,868,13,0.2,0.1,0,0.8,2.9,3.4,3.1,-64344,32.4,53.8,11.1,32.4,32.6,79,95.5,98.8,25.6,13.8,28.345,17.646
"18","Kendujhar",0.0047,2e-04,0.0551,846977,4095585,0.011,9e-04,489,24,0.2,0,0.1,2.4,4.3,2.5,2,-106600,42.5,54.9,30,44.1,33.2,58.3,92.6,85.4,20.5,16.4,92.27,30.419
"19","Khordha",0.0036,0,0.0408,8883923,2101782,0.005,6e-04,356,30,0.3,0,0,0.8,2,4.6,10.4,18296,35.2,55.3,13.5,34.2,36.2,81.6,94.5,84.6,47,46.2,56.613,36.088
"20","Koraput",0.0022,0,0.0475,551255,3535445,0.103,0.007,312,19,0.5,0.1,0.9,13.9,4.6,2,2,-114358,50.3,56.6,44.1,52.9,36.6,38.6,90,84.7,18.2,19,43.739,26.235
"21","Malkangiri",0.0011,2e-04,0.0326,544054,2036046,0.015,4e-04,347,6,0.4,0.1,2.6,36.3,4.5,2.8,1.5,-108941.5,50.7,56.2,45.3,51.7,38.8,38.3,91.4,89.3,16.7,5.6,27.413,16.327
"22","Mayurbhanj",0.0061,3e-04,0.0826,885482,5232359,0.01,4e-04,643,6,0.4,0,0.1,5.2,4.8,2.1,1.7,-119375.5,48.6,55.5,41.6,49.7,34.8,52.7,78.8,81.5,18.1,9.5,35.714,20.86
"23","Nabarangapur",0.0022,1e-04,0.0268,1400983,3414389,0.02,0.001,240,17,1.7,0,1.2,15.9,5.4,2,1.2,-130789.5,50,56.7,43.5,50.9,38.5,35.8,87.6,98.4,16.1,9.2,24.165,14.438
"24","Nayagarh",0.0028,1e-04,0.0645,16987178,1391033,0.02,5e-04,444,11,0.3,0,0.1,2.3,2,3.4,3.9,-35605,35.7,56.6,12.8,36,31.9,72,91.2,80.2,31.6,21,26.343,16.532
"25","Nuapada",0.001,1e-04,0.0202,80997,1465003,0.02,0,767,9,0.4,0.1,0.3,3.7,4.2,3.3,1.8,-96262,50,55.7,44.5,50.8,36.9,44.8,98.6,95,20.2,8.7,32.769,20.107
"26","Puri",0.003,0,0.0764,1676566,2847573,0.02,0,641,31,0.3,0.1,0,3.7,1.5,3.5,4.7,-16869.5,36.6,57.6,14.8,36.8,35.4,78.3,99.7,95,40.1,19.9,31.917,20.12
"27","Rayagada",0.0018,1e-04,0.0309,833246,2016506,0.01,0,320,6,0.6,0.2,2.8,12.1,3.9,3.1,2,-92387,48.3,54.7,42.2,50.4,36.4,39.2,80.8,91.7,23.4,17.1,37.089,22.376
"28","Sambalpur",0.0013,2e-04,0.0509,1308312,1283052,0.02,0.002,152,31,1.7,0,0.1,0.8,3,3.1,2.9,-67600,48.6,59.4,37.5,53.3,37.4,67.9,96.9,87.4,33.7,22.7,55.772,33.662
"29","Subarnapur",6e-04,1e-04,0.0222,233563,2160121,0.02,0.002,219,12,0.2,0,0.2,0,3.7,3,2.4,-85599,47,58.3,35.2,47.9,36.9,64,99.4,96.7,16,12.7,29.761,17.446
"30","Sundargarh",0.0052,1e-04,0.0635,2279850,2913562,0.04,0,384,12,0.5,0.1,0.4,0.6,4.5,6,7.6,-38596.5,41.7,55.1,28,46.2,33.6,65.5,98.2,89.3,37.9,24.6,66.925,31.622
